,variant1,variant2,variant3,variant4
404,0,0,0,pmwt
405,0,0,0,pmdn
406,0,0,0,rsrn
407,0,0,0,rssp
408,0,0,0,rsrp
409,0,0,0,rssm
410,0,0,0,rsdm
411,0,0,0,rsrr
412,0,0,0,rsdj
413,0,0,0,rsdn
414,0,0,0,ndtp
415,0,0,0,ndtm
416,0,0,0,ndtd
417,0,0,0,ndtt
418,0,0,0,ndtj
419,0,0,0,ndtz
420,0,0,0,ndts
421,0,0,0,rrrn
422,0,0,0,rrrp
423,0,0,0,rrrr
424,0,0,0,tmww
425,0,0,0,tmjs
426,0,0,0,tmmp
427,0,0,0,tmmw
428,0,0,0,tmws
429,0,0,0,tmmn
430,0,0,0,tmjr
431,0,0,0,tmjm
432,0,0,0,tmwr
433,0,0,0,tmdm
434,0,0,0,tmwd
435,0,0,0,tmjd
436,0,0,0,tmjt
437,0,0,0,tmms
438,0,0,0,tmjp
439,0,0,0,tmjn
440,0,0,0,tmjw
441,0,0,0,tmdj
442,0,0,0,tmjz
443,0,0,0,tmwt
444,0,0,0,tmdn
